Customer ID,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Married,Number of Dependents,Latitude,Longitude,Population,Churn Value
8779-QRDMV,0,1,No Offer,No,0.0,No,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,Male,78,No,0,34.02381,-118.156582,68701,1
7495-OOKFY,1,8,Offer E,Yes,48.85,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,Female,74,Yes,1,34.044271,-118.185237,55668,1
1658-BYGOY,0,18,Offer D,Yes,11.33,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,Male,71,No,3,34.108833,-118.229715,47534,1
4598-XLKNJ,1,25,Offer C,Yes,19.76,No,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,Female,78,Yes,1,33.936291,-118.332639,27778,1
4846-WHAFZ,1,37,Offer C,Yes,6.33,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,Female,80,Yes,1,33.972119,-118.020188,26265,1
4412-YLTKF,0,27,Offer C,Yes,3.33,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,Female,72,No,1,33.989524,-118.089299,63288,1
0390-DCFDQ,1,1,Offer E,Yes,15.28,No,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,Female,76,Yes,2,33.79499,-118.065591,21343,1
3445-HXXGF,6,58,Offer B,No,0.0,No,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,Male,66,Yes,0,34.168686,-118.057505,10558,1
2656-FMOKZ,0,15,Offer D,Yes,44.07,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,Female,70,No,2,34.139402,-118.128658,23742,1
2070-FNEXE,0,7,Offer E,Yes,26.95,No,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,Female,77,No,2,34.159007,-118.087353,32369,1
